Current Day of the year,median_listing_price_yy
1,0.105
2,0.104
4,0.035
5,0.072
6,0.078
7,0.087
8,0.107
9,0.112
11,0.035
12,0.072
13,0.078
14,0.084
15,0.104
16,0.119
18,0.033
19,0.074
20,0.08
21,0.085
22,0.116
23,0.117
25,0.034
26,0.074
27,0.08
28,0.091
29,0.119
30,0.117
32,0.031
33,0.07
34,0.088
35,0.082
36,0.118
37,0.13
39,0.017
40,0.073
41,0.079
42,0.087
43,0.118
44,0.115
46,0.027
47,0.078
48,0.079
49,0.067
50,0.117
51,0.124
53,0.036
54,0.072
55,0.077
56,0.07
57,0.124
58,0.119
60,0.029
61,0.076
62,0.077
63,0.063
64,0.145
65,0.095
67,0.038
68,0.069
69,0.08
70,0.06
71,0.14
72,0.097
74,0.043
75,0.073
76,0.075
77,0.063
78,0.128
79,0.111
81,0.035
82,0.067
83,0.082
84,0.063
85,0.113
86,0.126
88,0.028
89,0.074
90,0.074
91,0.047
92,0.134
93,0.128
95,0.02
96,0.078
97,0.074
98,0.031
99,0.127
100,0.157
102,0.013
103,0.068
104,0.092
105,0.025
106,0.134
107,0.158
109,0.014
110,0.068
111,0.073
112,0.024
113,0.14
114,0.164
116,0.003
117,0.07
118,0.102
119,0.024
120,0.133
121,0.161
123,0.013
124,0.067
125,0.087
126,0.024
127,0.145
128,0.154
130,0.016
131,0.07
132,0.084
133,0.011
134,0.148
135,0.152
137,0.028
138,0.067
139,0.079
140,0.007
141,0.158
142,0.151
144,0.031
145,0.067
146,0.075
147,0.008
148,0.17
149,0.126
151,0.043
152,0.068
153,0.075
154,0.002
155,0.169
156,0.134
158,0.047
159,0.067
160,0.075
161,-0.009
162,0.182
163,0.121
165,0.059
166,0.067
167,0.075
168,-0.009
169,0.182
170,0.118
172,0.062
173,0.067
174,0.073
175,-0.009
176,0.182
177,0.118
179,0.063
180,0.067
181,0.075
182,-0.003
182,0.081
183,0.176
184,0.112
186,0.063
187,0.067
188,0.075
189,-0.002
189,0.077
190,0.174
191,0.101
193,0.078
194,0.067
195,0.075
196,-0.009
196,0.077
197,0.171
198,0.099
200,0.082
201,0.067
202,0.072
203,0.077
204,0.158
205,0.1
207,0.087
208,0.063
209,0.077
210,0.081
211,0.158
212,0.099
214,0.088
215,0.061
216,0.087
217,0.076
218,0.154
219,0.086
221,0.097
222,0.058
223,0.087
224,0.078
225,0.16
226,0.074
228,0.105
229,0.059
230,0.084
231,0.078
232,0.147
233,0.074
235,0.108
236,0.061
237,0.08
238,0.079
239,0.147
240,0.074
242,0.111
243,0.065
244,0.073
245,0.089
246,0.141
247,0.079
249,0.108
250,0.054
251,0.081
252,0.078
253,0.14
254,0.074
256,0.116
257,0.05
258,0.083
259,0.078
260,0.144
261,0.074
263,0.118
264,0.049
265,0.082
266,0.078
267,0.133
268,0.074
270,0.121
271,0.052
272,0.076
273,0.078
274,0.133
275,0.074
277,0.124
278,0.051
279,0.075
280,0.078
281,0.133
282,0.074
284,0.126
285,0.049
286,0.074
287,0.078
288,0.133
289,0.074
291,0.126
292,0.051
293,0.073
294,0.078
295,0.131
296,0.074
298,0.126
299,0.051
300,0.073
301,0.079
302,0.12
303,0.087
305,0.12
306,0.044
307,0.073
308,0.078
309,0.117
310,0.087
312,0.131
313,0.034
314,0.073
315,0.082
316,0.112
317,0.09
319,0.128
320,0.034
321,0.079
322,0.087
323,0.113
324,0.097
326,0.133
327,0.018
328,0.08
329,0.092
330,0.122
331,0.088
333,0.133
334,0.034
335,0.074
336,0.08
337,0.108
338,0.091
340,0.13
341,0.034
342,0.074
343,0.08
344,0.107
345,0.096
347,0.124
348,0.034
349,0.074
350,0.08
351,0.1
352,0.099
354,0.117
355,0.038
356,0.074
357,0.076
358,0.101
359,0.094
361,0.115
362,0.036
363,0.074
364,0.077
365,0.097
